domain,reliability_label,wiki_citation
heraldcourier.com,1,0
theeagle.com,1,0
buffalonews.com,1,0
bullshido.net,1,0
shawlocal.com,1,0
business2community.com,0,0
butlercountytimesgazette.com,1,0
c-span.org,1,0
somdnews.com,1,0
canoncitydailyrecord.com,1,0
capecodtimes.com,1,0
capecoralbreeze.com,1,0
capitolfax.com,1,0
carrollconews.com,1,0
trib.com,1,0
castanet.net,1,0
tucsonlocalmedia.com,1,0
cbslocal.com,1,0
cdt.org,1,0
opensecrets.org,1,0
csis.org,1,0
myeasternshoremd.com,1,0
chandlernews.com,1,0
postregister.com,1,0
channelnewsasia.com,1,0
charitynavigator.org,1,0
chathamhouse.org,1,0
timesfreepress.com,1,0
thelandmark.com,1,0
chicoer.com,1,0
chinookobserver.com,1,0
chippewa.com,1,0
csmonitor.com,1,0
citynews.ca,1,0
clarindaherald.com,1,0
cctimesdemocrat.com,1,0
claytodayonline.com,1,0
claytonrecord.com,1,0
columbustelegram.com,1,0
cnet.com,1,0
ced.org,1,0
cpj.org,1,0
communityimpact.com,1,0
independenttribune.com,1,0
concordmonitor.com,1,0
congress.gov,1,0
cbo.gov,1,0
constitutioncenter.org,1,0
consumerreports.org,1,0
cookcountynews-herald.com,1,0
cookpolitical.com,1,0
corriere.it,1,0
coronavirus.gov,1,0
gazettetimes.com,1,0
cfr.org,1,0
countable.com,1,0
countryliving.com,1,0
courthousenews.com,1,0
courttv.com,1,0
covidtracking.com,1,0
cp24.com,1,0
craigdailypress.com,1,0
crainscleveland.com,1,0
crainsdetroit.com,1,0
cruxnow.com,1,0
ctvnews.ca,1,0
starexponent.com,1,0
dccircuitbreaker.org,1,0
dailycamera.com,1,0
messengernews.net,1,0
dailyjournalonline.com,1,0
dailymaverick.co.za,1,0
nonpareilonline.com,1,0
dailyrecord.com,1,0
godanriver.com,1,0
darientimes.com,1,0
daytondailynews.com,1,0
defensenews.com,1,0
defenseone.com,1,0
delawarelive.com,1,0
dbrnews.com,1,0
dentonrc.com,1,0
desmoinesregister.com,1,0
standaard.be,1,0
detik.com,0,0
differencebetween.net,1,0
digi24.ro,1,0
digitaljournal.com,1,0
qconline.com,1,0
dmagazine.com,1,0
doctorswithoutborders.org,1,0
dodgeglobe.com,1,0
dorsetecho.co.uk,1,0
dothaneagle.com,1,0
dpa.com,1,0
ladowntownnews.com,1,0
duluthnewstribune.com,1,0
eagletribune.com,1,0
yourobserver.com,1,0
edp24.co.uk,1,0
eastidahonews.com,1,0
eastvalleytribune.com,1,0
eatthis.com,0,0
leadertelegram.com,1,0
elkodaily.com,1,0
elnuevodia.com,1,0
yoursun.com,1,0
goerie.com,1,0
err.ee,1,0
dailypress.net,1,0
echo-news.co.uk,1,0
eurasiagroup.net,1,0
times-standard.com,1,0
everycrsreport.com,1,0
factcheck.org,1,0
factwire.org,1,0
fairmontsentinel.com,1,0
fayobserver.com,1,0
federalnewsnetwork.com,1,0
ft.com,1,0
firstcoastnews.com,1,0
firstdraftnews.org,1,0
sentinelandenterprise.com,1,0
floridapolitics.com,1,0
jacksonville.com,1,0
foreignaffairs.com,1,0
foreignpolicy.com,1,0
ftleavenworthlamp.com,1,0
fortmorgantimes.com,1,0
fosters.com,1,0
fourstateshomepage.com,1,0
france24.com,1,0
thefranklinnewspost.com,1,0
fredericksburg.com,1,0
fredericknewspost.com,1,0
fremonttribune.com,1,0
advocate-news.com,1,0
fullfact.org,1,0
gallup.com,1,0
gctelegram.com,1,0
geek.com,1,0
geekwire.com,1,0
gilbertsunnews.com,1,0
sun-courier.com,1,0
gladstonedispatch.com,1,0
glendalestar.com,1,0
postindependent.com,1,0
globalintegrity.org,1,0
globalslaveryindex.org,1,0
globegazette.com,1,0
goodnewsnetwork.org,1,0
gao.gov,1,0
govtrack.us,1,0
granitefallsnews.com,1,0
thegraftonnews.com,1,0
theindependent.com,1,0
greatfallstribune.com,1,0
greenbaypressgazette.com,1,0
greenvilleonline.com,1,0
ground.news,0,0
group30.org,1,0
presstelegram.com,1,0
ycombinator.com,0,0
hiawathaworldonline.com,1,0
hamburgreporter.com,1,0
journal-news.com,1,0
hanfordsentinel.com,0,0
hbr.org,1,0
harvard.edu,1,0
hastingstribune.com,1,0
hdnews.net,1,0
herald-review.com,1,0
dailybreeze.com,1,0
heterodoxacademy.org,1,0
hickoryrecord.com,1,0
homelandsecuritynewswire.com,1,0
howstuffworks.com,1,0
howtogeek.com,1,0
i24news.tv,0,0
idahostatesman.com,1,0
inc.com,1,0
helenair.com,1,0
ivn.us,1,0
indexmundi.com,1,0
indystar.com,1,0
dailybulletin.com,1,0
iwpr.org,1,0
ipi.media,1,0
investing.com,0,0
investopedia.com,1,0
ipsos.com,1,0
ironmountaindailynews.com,1,0
jaxdailyrecord.com,1,0
japantimes.co.jp,1,0
kaaltv.com,1,0
abc7.com,1,0
kadn.com,1,0
kagstv.com,1,0
kait8.com,1,0
kalb.com,1,0
everythinglubbock.com,1,0
myhighplains.com,1,0
yaktrinews.com,1,0
myarklamiss.com,1,0
kare11.com,1,0
kark.com,1,0
katc.com,1,0
alaskasnewssource.com,1,0
newschannel6now.com,1,0
crossroadstoday.com,1,0
kbjr6.com,1,0
12newsnow.com,1,0
kbtx.com,1,0
kcbd.com,1,0
kcci.com,1,0
thedenverchannel.com,1,0
kcentv.com,1,0
newspressnow.com,1,0
kcrg.com,1,0
q13fox.com,1,0
kcra.com,1,0
kctv5.com,1,0
wyomingnewsnow.tv,1,0
cw33.com,1,0
cbs4local.com,1,0
fox4news.com,1,0
kdrv.com,1,0
kdvr.com,1,0
kearneyhub.com,1,0
keloland.com,1,0
kens5.com,1,0
turnto23.com,1,0
kesq.com,1,0
ketk.com,1,0
ketv.com,1,0
blackhillsfox.com,1,0
keyc.com,1,0
cbsaustin.com,1,0
keyt.com,1,0
keysnews.com,1,0
kezi.com,1,0
newschannel10.com,1,0
cbs8.com,1,0
nwahomepage.com,1,0
kfvs12.com,1,0
kfyrtv.com,1,0
kget.com,1,0
hawaiinewsnow.com,1,0
kgns.tv,1,0
yourcentralvalley.com,1,0
kgw.com,1,0
4029tv.com,1,0
khits.com,1,0
khon2.com,1,0
khou.com,1,0
actionnewsnow.com,1,0
cw39.com,1,0
myfoxzone.com,1,0
kiem-tv.com,1,0
localnews8.com,1,0
kiiitv.com,1,0
knopnews2.com,1,0
kimt.com,1,0
king5.com,1,0
kion546.com,1,0
kiowacountysignal.com,1,0
kiplinger.com,1,0
kiro7.com,1,0
kitv.com,1,0
kivitv.com,1,0
kjct8.com,1,0
kktv.com,1,0
8newsnow.com,1,0
klax-tv.com,1,0
klfy.com,1,0
ourquadcities.com,1,0
fox16.com,1,0
kltv.com,1,0
kmbc.com,1,0
abc17news.com,1,0
kmov.com,1,0
nbcnebraskascottsbluff.com,1,0
3newsnow.com,1,0
kmvt.com,1,0
knoe.com,1,0
1011np.com,1,0
abc15.com,1,0
koaa.com,1,0
koamnewsnow.com,1,0
koat.com,1,0
kob.com,1,0
koin.com,1,0
fox23.com,1,0
kold.com,1,0
1011now.com,1,0
kolotv.com,1,0
ozarksfirst.com,1,0
kompas.com,0,0
cbs7.com,1,0
kotatv.com,1,0
newson6.com,1,0
kpax.com,1,0
kristv.com,1,0
kplctv.com,1,0
click2houston.com,1,0
kptv.com,1,0
kpvi.com,1,0
krdo.com,1,0
krem.com,1,0
fox26houston.com,1,0
kron4.com,1,0
krqe.com,1,0
krtv.com,1,0
ksat.com,1,0
fox10phoenix.com,1,0
ksbw.com,1,0
ksdk.com,1,0
dakotanewsnow.com,1,0
kshb.com,1,0
ksl.com,1,0
ksla.com,1,0
ksnblocal4.com,1,0
ksnt.com,1,0
ksn.com,1,0
ky3.com,1,0
kstp.com,1,0
fox5sandiego.com,1,0
kswo.com,1,0
bigcountryhomepage.com,1,0
arklatexhomepage.com,1,0
fox7austin.com,1,0
ktvb.com,1,0
ktiv.com,1,0
ktla.com,1,0
ktnv.com,1,0
ktre.com,1,0
ktsm.com,1,0
kttc.com,1,0
foxla.com,1,0
webcenterfairbanks.com,1,0
ktvh.com,1,0
fox2now.com,1,0
ktvq.com,1,0
ktvu.com,1,0
abc4.com,1,0
ktvz.com,1,0
fox40.com,1,0
nonstoplocal.com,1,0
valleycentral.com,1,0
kvia.com,1,0
kvoa.com,1,0
kvue.com,1,0
fox5vegas.com,1,0
kwch.com,1,0
newswest9.com,1,0
fox44news.com,1,0
weau.com,1,0
news9.com,1,0
kwtx.com,1,0
kwwl.com,1,0
kxan.com,1,0
kxii.com,1,0
kxlf.com,1,0
kxlh.com,1,0
kxly.com,1,0
kxnet.com,1,0
fox21news.com,1,0
abc10.com,1,0
kxxv.com,1,0
kyma.com,1,0
kyoutv.com,1,0
cbs19.tv,1,0
lacrossetribune.com,1,0
ledevoir.com,1,0
lahainanews.com,1,0
record-bee.com,1,0
lakegenevanews.net,1,0
hometownsource.com,1,0
lalibre.be,1,0
law360.com,1,0
ljworld.com,1,0
leavenworthtimes.com,1,0
ldnews.com,1,0
lebanon-express.com,1,0
wellingtondailynews.com,1,0
lesoir.be,1,0
lexch.com,1,0
lrt.lt,1,0
liveuamap.com,0,0
lancasteronline.com,1,0
logically.ai,1,0
lompocrecord.com,1,0
timescall.com,1,0
reporterherald.com,1,0
lovelycitizen.com,1,0
lowellsun.com,1,0
newsadvance.com,1,0
mapleridgenews.com,1,0
marinij.com,1,0
emountainwave.com,1,0
timesrepublican.com,1,0
martinsvillebulletin.com,1,0
mcdowellnews.com,1,0
mcphersonsentinel.com,1,0
mediapost.com,1,0
commercialappeal.com,1,0
mendocinobeacon.com,1,0
myrecordjournal.com,1,0
themesatribune.com,1,0
newsnationnow.com,1,0
republic-online.com,1,0
millburysutton.com,1,0
livemint.com,0,0
modernhealthcare.com,1,0
monroenews.com,1,0
thenewsstar.com,1,0
montenews.com,1,0
mooresvilletribune.com,1,0
morganton.com,1,0
morningconsult.com,1,0
flippinonline.com,1,0
muscatinejournal.com,1,0
mynewsla.com,0,0
navytimes.com,1,0
newarkpostonline.com,1,0
newfolks.com,1,0
newsandnews.com,1,0
news24.com,1,0
newsguardtech.com,1,0
nujournal.com,1,0
nknews.org,0,0
northkoreatimes.com,0,0
nptelegraph.com,1,0
northtamatelegraph.com,1,0
nwfdailynews.com,1,0
nwitimes.com,1,0
novinite.com,0,0
oanow.com,1,0
openmindmag.org,1,0
oregonlive.com,1,0
ormondbeachobserver.com,1,0
orovillemr.com,1,0
ottawaherald.com,1,0
oxfordmail.co.uk,1,0
parkrecord.com,1,0
pasadenastarnews.com,1,0
pjstar.com,1,0
peoriatimes.com,1,0
pewresearch.org,1,0
starheraldnews.com,1,0
pontevedrarecorder.com,1,0
pratttribune.com,1,0
pressofatlanticcity.com,1,0
punchbowl.news,1,0
queencreektribune.com,1,0
journaltimes.com,1,0
rferl.org,0,0
rainylakegazette.com,1,0
rand.org,1,0
ravallirepublic.com,1,0
redding.com,1,0
redbluffdailynews.com,1,0
redlandsdailyfacts.com,1,0
redwoodfallsgazette.com,1,0
repustar.com,1,0
reuters.com,1,0
rexburgstandardjournal.com,1,0
rfi.fr,0,0
rocanews.com,0,0
rte.ie,1,0
sgvtribune.com,1,0
santacruzsentinel.com,1,0
santansun.com,1,0
starherald.com,1,0
scottsdaleairpark.com,1,0
scottsdale.org,1,0
semafor.com,1,0
shareably.net,0,0
valleynewstoday.com,1,0
shorensteincenter.org,1,0
sierrasun.com,1,0
simplepolitics.co.uk,1,0
skyhinews.com,1,0
sky.com,1,0
sleepyeyenews.com,1,0
aspentimes.com,1,0
socialmediatoday.com,1,0
orangeobserver.com,1,0
spectrumlocalnews.com,1,0
ny1.com,1,0
spectrumreport.com,0,0
springfieldnewssun.com,1,0
spotlightpa.org,1,0
statista.com,1,0
steamboatpilot.com,1,0
journal-advocate.com,1,0
sjnewsonline.com,1,0
strategypage.com,1,0
studyfinds.org,1,0
cecildaily.com,1,0
swvatoday.com,1,0
tahoedailytribune.com,1,0
tamatoledonews.com,1,0
techspot.com,1,0
thefoothillsfocus.com,1,0
tetonvalleynews.net,1,0
digitaltrends.com,1,0
argonautnews.com,1,0
afr.com,1,0
thebalance.com,1,0
thebulltulsa.com,1,0
thecanadianpress.com,1,0
cepr.org,1,0
columbian.com,1,0
constitution.com,1,0
daily-chronicle.com,1,0
tdn.com,1,0
dailyprogress.com,1,0
thediplomat.com,1,0
929thedrive.com,1,0
economist.com,1,0
thefencepost.com,1,0
theflipside.io,1,0
hjnews.com,1,0
thehill.com,0,0
jordantimes.com,0,0
themanual.com,1,0
mariettatimes.com,1,0
miningjournal.net,1,0
mcall.com,1,0
scnow.com,1,0
thekansan.com,1,0
newsvirginian.com,1,0
monmouth.edu,1,0
postandcourier.com,1,0
poststar.com,1,0
syracuse.com,1,0
theprimarymarket.com,0,0
recordnet.com,1,0
theregister.com,1,0
therepublic.com,1,0
masslive.com,1,0
thecalifornian.com,1,0
scotsman.com,1,0
cumberlink.com,1,0
thesmokinggun.com,1,0
sociable.co,1,0
thesouthern.com,1,0
spokesman.com,1,0
stardem.com,1,0
thestrategybridge.org,1,0
tennessean.com,1,0
thetandd.com,1,0
thetowntalk.com,1,0
trentonian.com,1,0
theunion.com,1,0
vindy.com,1,0
wcfcourier.com,1,0
zdf.de,1,0
thirdway.org,0,0
thoughtco.com,1,0
thv11.com,1,0
timesofsandiego.com,1,0
magicvalley.com,1,0
todayifoundout.com,1,0
tonganoxiemirror.com,1,0
transparency.org,1,0
transpartisanreview.com,0,0
record-eagle.com,1,0
tribunecontentagency.com,1,0
tri-cityherald.com,1,0
truthorfiction.com,1,0
tucsonweekly.com,1,0
tut.by,0,0
tvw.org,1,0
loganwoodbine.com,1,0
ukiahdailyjournal.com,1,0
upi.com,1,0
house.gov,1,0
uscourts.gov,1,0
usaspending.gov,1,0
usafacts.org,1,0
standard.net,1,0
vaildaily.com,1,0
timesheraldonline.com,1,0
vcreporter.com,1,0
verifythis.com,1,0
voanews.com,1,0
vinnews.com,0,0
votesmart.org,1,0
waaytv.com,1,0
deltanews.tv,1,0
wabi.tv,1,0
wacotrib.com,1,0
wafb.com,1,0
fox5atlanta.com,1,0
wagmtv.com,1,0
wahoo-ashland-waverly.com,1,0
fox10tv.com,1,0
walb.com,1,0
wandtv.com,1,0
wane.com,1,0
waow.com,1,0
wapt.com,1,0
warontherocks.com,1,0
wtop.com,1,0
wate.com,1,0
localmemphis.com,1,0
wave3.com,1,0
wavy.com,1,0
wbaltv.com,1,0
wbay.com,1,0
wbir.com,1,0
wbko.com,1,0
wbng.com,1,0
10tv.com,1,0
wbrc.com,1,0
pahomepage.com,1,0
wbtv.com,1,0
wbtw.com,1,0
wcax.com,1,0
counton2.com,1,0
wcia.com,1,0
nbc4i.com,1,0
wcnc.com,1,0
wcpo.com,1,0
live5news.com,1,0
wctv.tv,1,0
wcvb.com,1,0
fox4kc.com,1,0
wdam.com,1,0
fox40jackson.com,1,0
wdbj7.com,1,0
dcnewsnow.com,1,0
wdio.com,1,0
clickondetroit.com,1,0
wdrb.com,1,0
wdsu.com,1,0
wdtn.com,1,0
wdtv.com,1,0
wearethemighty.com,1,0
wect.com,1,0
25newsnow.com,1,0
tristatehomepage.com,1,0
weny.com,1,0
wesh.com,1,0
westernmassnews.com,1,0
westvalleyview.com,1,0
wvpublic.org,1,0
mytwintiers.com,1,0
wiproud.com,1,0
wevv.com,1,0
news5cleveland.com,1,0
wfaa.com,1,0
mychamplainvalley.com,1,0
wfft.com,1,0
14news.com,1,0
wfla.com,1,0
fox32chicago.com,1,0
wflx.com,1,0
wfmynews2.com,1,0
wfmz.com,1,0
wearegreenbay.com,1,0
wfsb.com,1,0
wfxrtv.com,1,0
boston25news.com,1,0
wgal.com,1,0
nbc26.com,1,0
cbs46.com,1,0
wgem.com,1,0
myfox8.com,1,0
brproud.com,1,0
wgntv.com,1,0
wgno.com,1,0
wtkr.com,1,0
wgrz.com,1,0
whas11.com,1,0
whatculture.com,1,0
fox13memphis.com,1,0
whec.com,1,0
whio.com,1,0
whittierdailynews.com,1,0
foxcarolina.com,1,0
whnt.com,1,0
who13.com,1,0
whsv.com,1,0
abc27.com,1,0
cbs42.com,1,0
kansas.com,1,0
erienewsnow.com,1,0
wicz.com,1,0
wilx.com,1,0
winknews.com,1,0
newschief.com,1,0
wistv.com,1,0
channel3000.com,1,0
wisn.com,1,0
fox6now.com,1,0
witn.com,1,0
wivb.com,1,0
wjbf.com,1,0
wjhg.com,1,0
wjhl.com,1,0
wjtv.com,1,0
fox8.com,1,0
news4jax.com,1,0
wkbn.com,1,0
news8000.com,1,0
wkbw.com,1,0
clickorlando.com,1,0
wkow.com,1,0
wkrg.com,1,0
wkyc.com,1,0
wlns.com,1,0
wlbt.com,1,0
lex18.com,1,0
wlfi.com,1,0
hometownstations.com,1,0
wlky.com,1,0
wlox.com,1,0
wltx.com,1,0
uppermichiganssource.com,1,0
wlwt.com,1,0
wmar2news.com,1,0
centralillinoisproud.com,1,0
fox47.com,1,0
tv20detroit.com,1,0
cbs17.com,1,0
wnct.com,1,0
wndu.com,1,0
wnem.com,1,0
wnyt.com,1,0
fox5ny.com,1,0
wogx.com,1,0
weareiowa.com,1,0
cleveland19.com,1,0
woodtv.com,1,0
spectrumnews1.com,1,0
wowktv.com,1,0
wowt.com,1,0
wpbf.com,1,0
phl17.com,1,0
fox43.com,1,0
mynbc5.com,1,0
wqad.com,1,0
mystateline.com,1,0
wrex.com,1,0
wrtv.com,1,0
wsfltv.com,1,0
wsoctv.com,1,0
localsyr.com,1,0
fox61.com,1,0
tmj4.com,1,0
wtsp.com,1,0
wtvm.com,1,0
fox13news.com,1,0
wtvy.com,1,0
wikinews.org,1,0
wikipedia.org,0,0
winnipegfreepress.com,1,0
winonadailynews.com,1,0
journalnow.com,1,0
wionews.com,0,0
madison.com,1,0
fox2detroit.com,1,0
fox46.com,1,0
wkrn.com,1,0
wvlt.tv,1,0
raleighcw.com,1,0
13wmaz.com,1,0
actionnews5.com,1,0
wmtw.com,1,0
wmur.com,1,0
wnep.com,1,0
fox35orlando.com,1,0
dailydemocrat.com,1,0
worldometers.info,1,0
worldpoliticsreview.com,1,0
worldpopulationreview.com,0,0
pix11.com,1,0
wpri.com,1,0
wpta21.com,1,0
wpxi.com,1,0
wqow.com,1,0
wral.com,1,0
wrbl.com,1,0
wrdw.com,1,0
wreg.com,1,0
wric.com,1,0
rochesterfirst.com,1,0
wsav.com,1,0
wsaz.com,1,0
wsbtv.com,1,0
wsfa.com,1,0
wsiltv.com,1,0
wsls.com,1,0
wsmv.com,1,0
wspa.com,1,0
fox47news.com,1,0
wtae.com,1,0
wearecentralpa.com,1,0
wtap.com,1,0
news10.com,1,0
wthitv.com,1,0
wthr.com,1,0
wtnh.com,1,0
wtok.com,1,0
wtol.com,1,0
fox5dc.com,1,0
cbs4indy.com,1,0
wtva.com,1,0
newschannel5.com,1,0
13abc.com,1,0
fox29.com,1,0
wusa9.com,1,0
13newsnow.com,1,0
nbc29.com,1,0
wvtm13.com,1,0
fox8live.com,1,0
wvva.com,1,0
nbc12.com,1,0
wwlp.com,1,0
wwnytv.com,1,0
my9nj.com,1,0
mysuncoast.com,1,0
11alive.com,1,0
wxii12.com,1,0
fox59.com,1,0
fox19.com,1,0
fox17online.com,1,0
wwltv.com,1,0
wxow.com,1,0
wxyz.com,1,0
wyff4.com,1,0
wymt.com,1,0
wytv.com,1,0
rocketcitynow.com,1,0
wzmq19.com,1,0
wzzm13.com,1,0
yle.fi,0,0
yorknewstimes.com,1,0
zdnet.com,1,0
accountable.us,0,0
act.tv,0,0
aftonbladet.se,0,0
aldianews.com,0,0
afj.org,1,0
altnews.in,1,0
alternet.org,0,0
aidc.org.za,1,0
americanbridgepac.org,0,0
americanoversight.org,0,0
au.org,1,0
angrywhitemen.org,0,0
azmirror.com,1,0
arkansasadvocate.com,1,0
attackthesystem.com,0,0
autostraddle.com,1,0
baltimoresun.com,1,0
ebar.com,1,0
beingliberal.org,0,0
billmoyers.com,0,0
bitchmedia.org,1,0
blackagendareport.com,0,0
blackamericaweb.com,0,0
blacklivesmatter.com,0,0
blackmainstreet.net,0,0
bnc.tv,0,0
boingboing.net,0,0
bostonreview.net,1,0
brut.media,0,0
bust.com,0,0
calltoactivism.com,0,0
canadafactcheck.ca,0,0
antihate.ca,1,0
canadiandimension.com,0,0
capitalandmain.com,1,0
care2.com,0,0
ceasefiremagazine.co.uk,1,0
americanprogress.org,0,0
prwatch.org,1,0
c4ss.org,0,0
change.org,0,0
chicagoreader.com,1,0
chicagoreporter.com,1,0
china.org.cn,0,0
citybeat.com,1,0
citizencritics.org,0,0
clevescene.com,1,0
climatechangenews.com,1,0
cnn.com,0,0
codepink.org,0,0
coloradotimesrecorder.com,1,0
colorlines.com,1,0
columbusfreepress.com,0,0
comicsands.com,0,0
commondreams.org,1,0
communemag.com,0,0
consortiumnews.com,0,0
copblock.org,0,0
cosmopolitan.com,0,0
countercurrents.org,0,0
counterpunch.org,0,0
crikey.com.au,1,0
crimethinc.com,1,0
crooked.com,0,0
crooksandliars.com,0,0
currentaffairs.org,1,0
curvemag.com,1,0
thedailybeast.com,0,0
dailydot.com,1,0
dailykos.com,0,0
dailyrecord.co.uk,0,0
dailysoundandfury.com,0,0
dallasvoice.com,1,0
deadstate.org,1,0
deadspin.com,1,0
democracyguardian.com,0,0
democracyjournal.org,1,0
democracynow.org,1,0
democraticunderground.com,0,0
deshabhimani.com,0,0
desmogblog.com,1,0
metrotimes.com,1,0
dissentmagazine.org,1,0
drudge.com,0,0
earthfirstjournal.news,0,0
ecowatch.com,0,0
egbertowillies.com,1,0
electoral-vote.com,1,0
elitedaily.com,0,0
esquire.com,0,0
everydayfeminism.com,0,0
evonomics.com,1,0
feministcurrent.com,0,0
fifthestate.org,1,0
finnishnews.fi,0,0
floridaphoenix.com,1,0
foodandwaterwatch.org,0,0
foreignpolicynews.org,0,0
freepress.org,0,0
ffrf.org,0,0
freedomnews.org.uk,1,0
frontpagelive.com,0,0
freespeech.org,0,0
gawker.com,0,0
gaycitynews.com,1,0
gaystarnews.com,0,0
gaytimes.co.uk,1,0
geopoliticsalert.com,0,0
georgiarecorder.com,1,0
giffords.org,1,0
gizmodo.com,1,0
glaad.org,1,0
good.is,1,0
gq.com,1,0
bradford-delong.com,1,0
greenleft.org.au,1,0
guardianlv.com,0,0
haaretz.com,1,0
harpersbazaar.com,0,0
hightimes.com,0,0
hillreporter.com,1,0
huffpost.com,0,0
hrc.org,1,0
marxist.com,0,0
inthesetimes.com,0,0
alligator.org,1,0
indivisible.org,0,0
inequalitymedia.org,1,0
juancole.com,0,0
ips-dc.org,0,0
intpolicydigest.org,1,0
internationalviewpoint.org,0,0
iowacapitaldispatch.com,0,0
jacobinmag.com,1,0
jezebel.com,1,0
junkee.com,0,0
kansasreflector.com,1,0
laweekly.com,0,0
lailluminator.com,1,0
mg.co.za,0,0
mediamatters.org,1,0
mediaite.com,0,0
meduza.io,1,0
meidastouch.com,0,0
michiganadvance.com,1,0
milwaukeeindependent.com,0,0
missouriindependent.com,1,0
nebraskaexaminer.com,1,0
newjerseymonitor.com,1,0
newrepublic.com,1,0
nymag.com,1,0
newyorker.com,1,0
novaramedia.com,0,0
nowtoronto.com,1,0
ohiocapitaljournal.com,0,0
opensocietyfoundations.org,0,0
orlandoweekly.com,1,0
out.com,0,0
palmerreport.com,0,0
penncapital-star.com,0,0
pinacnews.com,1,0
polinews.org,0,0
politicususa.com,1,0
popular.info,1,0
boldprogressives.org,0,0
psyche.co,1,0
rawstory.com,0,0
therealnews.com,1,0
resolutesquare.com,1,0
rollingstone.com,1,0
salon.com,0,0
sfbayview.com,0,0
shondaland.com,0,0
slate.com,0,0
readsludge.com,1,0
worldsocialism.org,0,0
southdakotasearchlight.com,1,0
splcenter.org,1,0
riverfronttimes.com,1,0
talkingpointsmemo.com,0,0
tnholler.com,1,0
tennesseelookout.com,1,0
19thnews.org,1,0
americanindependent.com,0,0
prospect.org,1,0
thecut.com,0,0
democratichub.com,0,0
thegailygrind.com,0,0
ghionjournal.com,0,0
goodmenproject.com,1,0
gravelinstitute.org,0,0
mavenroundtable.io,0,0
levernews.com,1,0
thelily.com,1,0
themilitant.com,0,0
thenarwhal.ca,1,0
thenation.com,1,0
palestinechronicle.com,1,0
phnompenhpost.com,0,0
progressive.org,0,0
theroot.com,0,0
thelasource.com,0,0
thestranger.com,1,0
texasobserver.org,1,0
villagevoice.com,1,0
voice-online.co.uk,0,0
thewalrus.ca,1,0
washingtonspectator.org,1,0
theweek.com,1,0
worldcantwait.net,0,0
thegrio.com,0,0
thisisthezerohour.com,1,0
them.us,1,0
this.org,0,0
towleroad.com,1,0
treehugger.com,1,0
truthdig.com,1,0
truthout.org,0,0
truththeory.com,1,0
unicornriot.ninja,1,0
uproxx.com,0,0
upworthy.com,0,0
vanityfair.com,0,0
vox.com,1,0
wallstreetonparade.com,1,0
washingtonbabylon.com,1,0
washingtonpress.com,0,0
washingtonian.com,1,0
wearyourvoicemag.com,1,0
wehuntedthemammoth.com,1,0
whowhatwhy.org,0,0
wonkette.com,0,0
workers.org,0,0
wsws.org,0,0
yesmagazine.org,1,0
tyt.com,0,0
100milefreepress.net,1,0
604now.com,0,0
972mag.com,1,0
go.com,1,0
abc.net.au,1,0
abc11.com,1,0
abbynews.com,1,0
abovethelaw.com,1,0
theadvocate.com,1,0
aceshowbiz.com,0,0
aclu.org,0,0
adaderana.lk,0,0
aeon.co,1,0
